調味名稱,攤位,攤商名稱,品牌,來源(產地),夜市名稱,_id
鹽,延三觀光夜市,鐵板炒飯,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,延三觀光夜市,597
香油,170號前,台南米糕,富味鄉食品股份有限公司,新北市五股區五權路53號,西昌街觀光夜市,598
糖,170號前,台南米糕,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,西昌街觀光夜市,600
醬油,170號前,台南米糕,鬼女神食品有限公司,台北市大同區哈密街50之3號1樓,西昌街觀光夜市,601
鹽,170號前,台南米糕,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,西昌街觀光夜市,602
沙茶醬,饒河街345號路中,玉米哥直立式碳烤,勝益興食品有限公司,高雄市三民區遼北街7號,饒河街觀光夜市,603
糖,饒河街345號路中,玉米哥直立式碳烤,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,饒河街觀光夜市,604
醬油,饒河街345號路中,玉米哥直立式碳烤,新亞醬園,新北市蘆洲區長安街285巷18號1樓,饒河街觀光夜市,605
鹽,饒河街345號路中,玉米哥直立式碳烤,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,饒河街觀光夜市,606
沙拉油,饒河街夜市路中348號,阿根脆皮臭豆腐,美食家食材通路股份有限公司,台南市安平區永華路二段373號,饒河街觀光夜市,607
蒜泥,饒河街夜市路中348號,阿根脆皮臭豆腐,環南市場,台北市萬華區環河南路二段245號,饒河街觀光夜市,608
糖,饒河街夜市路中348號,阿根脆皮臭豆腐,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,饒河街觀光夜市,609
醬油,饒河街夜市路中348號,阿根脆皮臭豆腐,西螺大同醬油股份有限公司,雲林縣斗六市工業區斗工二路39號,饒河街觀光夜市,610
鹽,饒河街夜市路中348號,阿根脆皮臭豆腐,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,饒河街觀光夜市,611
糖,中華路二段311巷-313巷間,好了啦超大杯,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,南機場夜市,612
味精,中華路二段307巷20號旁,山內雞肉,味丹企業股份有限公司,台中市沙鹿區興安路65號,南機場夜市,613
糖,中華路二段307巷20號旁,山內雞肉,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,南機場夜市,614
醬油,中華路二段307巷20號旁,山內雞肉,萬家香醬園股份有限公司,台北市中山區德惠街9號5樓之6,南機場夜市,615
鹽,中華路二段307巷20號旁,山內雞肉,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,南機場夜市,616
沙拉油,中華路二段307巷-309巷間,阿榮刈包,大成長城企業股份有限公司,台北市內湖區文湖街20號8樓,南機場夜市,617
沙茶醬,中華路二段307巷-309巷間,阿榮刈包,好帝一食品有限公司,台南市新市區大營里豐榮160號,南機場夜市,618
味精,中華路二段307巷-309巷間,阿榮刈包,味丹企業股份有限公司,台中市沙鹿區興安路65號,南機場夜市,619
香油,中華路二段307巷-309巷間,阿榮刈包,辰邦股份有限公司,新北市新莊區化成路403巷47號,南機場夜市,620
糖,中華路二段307巷-309巷間,阿榮刈包,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,南機場夜市,621
醬油,中華路二段307巷-309巷間,阿榮刈包,統一企業股份有限公司,台南市永康區鹽行里中正路301號,南機場夜市,622
鹽,中華路二段307巷-309巷間,阿榮刈包,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,南機場夜市,623
沙拉油,中華路二段315巷口,爆漿雞蛋糕,美食家食材通路股份有限公司,台南市安平區永華路二段373號,南機場夜市,624
糖,中華路二段315巷口,爆漿雞蛋糕,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,南機場夜市,625
糖,中華路二段309巷-311巷間,阿吉紅茶豆漿,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,南機場夜市,626
沙拉油,饒河街192號前對面路中,大雞排,美食家食材通路股份有限公司,台南市安平區永華路二段373號,饒河街觀光夜市,627
味精,饒河街192號前對面路中,大雞排,味全食品工業股份有限公司,台北市中山區松江路125號,饒河街觀光夜市,628
胡椒粉等香料,饒河街192號前對面路中,大雞排,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1,饒河街觀光夜市,629
糖,饒河街192號前對面路中,大雞排,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,饒河街觀光夜市,630
醬油,饒河街192號前對面路中,大雞排,統一企業股份有限公司,台南市永康區鹽行里中正路301號,饒河街觀光夜市,631
鹽,饒河街192號前對面路中,大雞排,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,饒河街觀光夜市,632
沙拉油,中華路二段309巷-311巷間,好吃炸雞,美食家食材通路股份有限公司,台南市安平區永華路二段373號,南機場夜市,633
胡椒粉,中華路二段309巷-311巷間,好吃炸雞,好吃炸雞(自創品牌),台北市中正區中華路二段315巷41號,南機場夜市,634
辣椒粉,中華路二段309巷-311巷間,好吃炸雞,好吃炸雞(自創品牌),台北市中正區中華路二段315巷41號,南機場夜市,635
糖,中華路二段309巷-311巷間,好吃炸雞,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,南機場夜市,636
醬油膏,中華路二段309巷-311巷間,好吃炸雞,金蘭食品股份有限公司,桃園市大溪區介壽路236號,南機場夜市,637
味精,中華路二段315巷口,正宗福州麵,味丹企業股份有限公司,台中市沙鹿區興安路65號,南機場夜市,638
香油,中華路二段315巷口,正宗福州麵,台耕產業工廠有限公司,台中市沙鹿區興安路80巷5號,南機場夜市,639
豬油,中華路二段315巷口,正宗福州麵,自製,台灣,南機場夜市,640
糖,中華路二段315巷口,正宗福州麵,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,南機場夜市,641
醬油,中華路二段315巷口,正宗福州麵,一品醬園有限公司,新北市土城區自強街24號,南機場夜市,642
鹽,中華路二段315巷口,正宗福州麵,台鹽實業股份有限公司,台南市南區健康路1段297號,南機場夜市,643
沙拉油,中華路二段309巷-311巷間,小都都水煎包,大成長城企業股份有限公司,台北市內湖區文湖街20號8樓,南機場夜市,644
味精,中華路二段309巷-311巷間,小都都水煎包,味丹企業股份有限公司,台中市沙鹿區興安路65號,南機場夜市,645
香油,中華路二段309巷-311巷間,小都都水煎包,信成油廠股份有限公司,台北市大同區民生西路96號,南機場夜市,646
糖,中華路二段309巷-311巷間,小都都水煎包,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,南機場夜市,647
醬油,中華路二段309巷-311巷間,小都都水煎包,金蘭食品股份有限公司,桃園市大溪區介壽路236號,南機場夜市,648
鹽,中華路二段309巷-311巷間,小都都水煎包,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,南機場夜市,649
酒,中華路二段311巷-313巷間,阿男麻油雞,臺灣菸酒股份有限公司,台北市中正區南昌路一段4號,南機場夜市,650
麻油,中華路二段311巷-313巷間,阿男麻油雞,信成油廠股份有限公司,台北市大同區民生西路96號,南機場夜市,651
糖,中華路二段311巷-313巷間,阿男麻油雞,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,南機場夜市,652
醬油,中華路二段311巷-313巷間,阿男麻油雞,金蘭食品股份有限公司,桃園市大溪區介壽路236號,南機場夜市,653
鹽,中華路二段311巷-313巷間,阿男麻油雞,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,南機場夜市,654
二砂,雙城街臨時攤販集中場(夜02),高記冰品,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,雙城街夜市,655
白糖,雙城街臨時攤販集中場(夜02),高記冰品,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,雙城街夜市,656
沙拉油,中華路二段309巷-311巷間,(榮)麻辣,大成長城企業股份有限公司,台北市內湖區文湖街20號8樓,南機場夜市,657
味精,中華路二段309巷-311巷間,(榮)麻辣,味丹企業股份有限公司,台中市沙鹿區興安路65號,南機場夜市,658
香油,中華路二段309巷-311巷間,(榮)麻辣,辰邦股份有限公司,新北市新莊區化成路403巷47號,南機場夜市,659
辣豆瓣,中華路二段309巷-311巷間,(榮)麻辣,香山食品廠,新竹市牛埔路280號,南機場夜市,660
豬油,中華路二段309巷-311巷間,(榮)麻辣,自製,臺灣,南機場夜市,661
醬油,中華路二段309巷-311巷間,(榮)麻辣,味王股份有限公司,台北市中山區聚盛里中山北路2段79號5樓,南機場夜市,662
鹽,中華路二段309巷-311巷間,(榮)麻辣,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,南機場夜市,663
沙拉油,饒河街187號,瘋炸魷魚,美食家食材通路股份有限公司,台南市安平區永華路二段373號,饒河街觀光夜市,664
味精,饒河街187號,瘋炸魷魚,味全食品工業股份有限公司,台北市中山區松江路125號,饒河街觀光夜市,665
糖,饒河街187號,瘋炸魷魚,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,饒河街觀光夜市,666
醬油,饒河街187號,瘋炸魷魚,統一企業股份有限公司,台南市永康區鹽行里中正路301號,饒河街觀光夜市,667
鹽,饒河街187號,瘋炸魷魚,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,饒河街觀光夜市,668
沙拉油,士林市場地下1樓 25-28,阿璣師牛排,福壽實業股份有限公司,台中市沙鹿區沙田路45號,士林觀光夜市,669
味精,士林市場地下1樓 25-28,阿璣師牛排,味全食品工業股份有限公司,台北市中山區松江路125號,士林觀光夜市,670
香油,士林市場地下1樓 25-28,阿璣師牛排,福壽實業股份有限公司,台中市沙鹿區沙田路45號,士林觀光夜市,671
糖,士林市場地下1樓 25-28,阿璣師牛排,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,士林觀光夜市,672
醬油,士林市場地下1樓 25-28,阿璣師牛排,金蘭食品股份有限公司,桃園市大溪區介壽路236號,士林觀光夜市,673
鹽,士林市場地下1樓 25-28,阿璣師牛排,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,士林觀光夜市,674
哇沙米,饒河街路中342、229號,台中新社菇,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1,饒河街觀光夜市,675
胡椒,饒河街路中342、229號,台中新社菇,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1,饒河街觀光夜市,676
新疆孜然,饒河街路中342、229號,台中新社菇,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1,饒河街觀光夜市,677
辣椒,饒河街路中342、229號,台中新社菇,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1,饒河街觀光夜市,678
糖,饒河街路中342、229號,台中新社菇,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,饒河街觀光夜市,679
檸檬椒鹽,饒河街路中342、229號,台中新社菇,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1,饒河街觀光夜市,680
醬油,饒河街路中342、229號,台中新社菇,金蘭食品股份有限公司,桃園市大溪區介壽路236號,饒河街觀光夜市,681
鹽,饒河街路中342、229號,台中新社菇,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,饒河街觀光夜市,682
黑糖,雙城街臨時攤販集中場(夜09),城市愛玉,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,雙城街夜市,683
糖,雙城街臨時攤販集中場(夜09),城市愛玉,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,雙城街夜市,684
香草莢,中華路二段313巷內,香酥雞蛋糕,義興食品有限公司,彰化縣二水鄉員集路四段328號,南機場夜市,685
糖,中華路二段313巷內,香酥雞蛋糕,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,南機場夜市,686
酒,遼寧街中興中學旁(12),麻油腰只筒仔米糕,統香珍生技股份有限公司,苗栗縣竹南鎮博愛街183號,遼寧街夜市,687
麻油,遼寧街中興中學旁(12),麻油腰只筒仔米糕,信成油廠股份有限公司,臺北市大同區民生西路96號,遼寧街夜市,688
醬油膏,遼寧街中興中學旁(12),麻油腰只筒仔米糕,金蘭食品股份有限公司,桃園市大溪區介壽路236號,遼寧街夜市,689
香油,遼寧街81巷口,以琳廣東粥,辰邦股份有限公司,新北市新莊區化成路403巷47號,遼寧街夜市,690
豬油,遼寧街81巷口,以琳廣東粥,自製,台灣,遼寧街夜市,691
糖,遼寧街81巷口,以琳廣東粥,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,遼寧街夜市,692
醬油,遼寧街81巷口,以琳廣東粥,金蘭食品股份有限公司,桃園縣大溪鎮,遼寧街夜市,693
鹽,遼寧街81巷口,以琳廣東粥,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,遼寧街夜市,694
米酒,遼寧街中興中學旁(04),冬冬豬腸冬粉,永續酒業股份有限公司,苗栗縣頭份鎮蘆竹里蘆竹路170號,遼寧街夜市,695
味精,遼寧街中興中學旁(04),冬冬豬腸冬粉,味丹企業股份有限公司,台中市沙鹿區興安路65號,遼寧街夜市,696
醬油,遼寧街中興中學旁(04),冬冬豬腸冬粉,統一企業股份有限公司,台南市永康區鹽行里中正路301號,遼寧街夜市,697
鹽,遼寧街中興中學旁(04),冬冬豬腸冬粉,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,遼寧街夜市,698
糖,遼寧街中興中學旁,紅心粉圓,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,遼寧街夜市,699
沙拉油,遼寧街83號教堂旁,圓仔便當店,美食家食材通路股份有限公司,台南市安平區永華路二段373號,遼寧街夜市,700
味精,遼寧街83號教堂旁,圓仔便當店,味全食品工業股份有限公司,台北市中山區松江路125號,遼寧街夜市,701
香油,遼寧街83號教堂旁,圓仔便當店,提香食品企業社,台南縣安定鄉六嘉村六塊寮41-3號,遼寧街夜市,702
糖,遼寧街83號教堂旁,圓仔便當店,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,遼寧街夜市,703
鹽,遼寧街83號教堂旁,圓仔便當店,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,遼寧街夜市,704
鹽巴,士林市場地下1樓45,蓁品美食,無品牌,台灣,士林觀光夜市,3306
沙拉油,中華路二段311巷-313巷間,火車站麵飯店,美食家食材通路股份有限公司,台南市安平區永華路二段373號,南機場夜市,705
味精,中華路二段311巷-313巷間,火車站麵飯店,味全食品工業股份有限公司,台北市中山區松江路125號,南機場夜市,706
糖,中華路二段311巷-313巷間,火車站麵飯店,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,南機場夜市,707
醬油,中華路二段311巷-313巷間,火車站麵飯店,金蘭食品股份有限公司,桃園市大溪區介壽路236號,南機場夜市,708
鹽,中華路二段311巷-313巷間,火車站麵飯店,台鹽實業股份有限公司,台南市南區健康路1段297號,南機場夜市,709
沙拉油,景文街133號,祖傳牛肉麵,大成長城企業股份有限公司,台南市永康區蔦松二街3號,景美夜市,710
香油,景文街133號,祖傳牛肉麵,福壽實業股份有限公司,台中市沙鹿區沙田路45號,景美夜市,711
醬油,景文街133號,祖傳牛肉麵,瑞春醬油有限公司,雲林縣西螺鎮延平路438號,景美夜市,712
鹽,景文街133號,祖傳牛肉麵,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,景美夜市,713
沙拉油,饒河街109號前路中,潤餅捲,福壽實業股份有限公司,台中市沙鹿區沙田路45號,饒河街觀光夜市,714
甜辣醬,饒河街109號前路中,潤餅捲,三豐食品工廠,新北市新莊區化成路100號,饒河街觀光夜市,715
沙拉油,(日)中華路二段313巷、315巷間,阿信早餐店,大成長城企業股份有限公司,台北市內湖區文湖街20號8樓,南機場夜市,716
美乃滋,(日)中華路二段313巷、315巷間,阿信早餐店,祥鈺食品行,新北市中和區中山路二段482巷47號,南機場夜市,717
香油,(日)中華路二段313巷、315巷間,阿信早餐店,辰邦股份有限公司,新北市新莊區化成路403巷47號,南機場夜市,718
番茄醬,(日)中華路二段313巷、315巷間,阿信早餐店,臺灣可果美股份有限公司,台南市善化區小新營394號,南機場夜市,719
糖,(日)中華路二段313巷、315巷間,阿信早餐店,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,南機場夜市,720
鮮奶油,(日)中華路二段313巷、315巷間,阿信早餐店,虹旭企業有限公司,新北市汐止區福德一路392巷22弄14號2樓,南機場夜市,721
醬油,(日)中華路二段313巷、315巷間,阿信早餐店,新亞醬園,新北市蘆洲區長安街285巷18號1樓,南機場夜市,722
鹽,(日)中華路二段313巷、315巷間,阿信早餐店,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,南機場夜市,723
山葵,中華路二段311巷-313巷間,小柳生魚,信州食品股份有限公司,台北市中山區龍江路328巷4號1樓,南機場夜市,724
味噌味醂,中華路二段311巷-313巷間,小柳生魚,穀盛股份有限公司,嘉義縣民雄工業區中正路36號,南機場夜市,725
美乃滋,中華路二段311巷-313巷間,小柳生魚,桂冠實業股份有限公司,台北市中正區羅斯福路三段126號2樓,南機場夜市,726
糖,中華路二段311巷-313巷間,小柳生魚,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,南機場夜市,727
醬油,中華路二段311巷-313巷間,小柳生魚,金蘭食品股份有限公司,桃園市大溪區介壽路236號,南機場夜市,728
鹽,中華路二段311巷-313巷間,小柳生魚,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,南機場夜市,729
玉米粒,饒河街109號,口?品臭豆腐,味全食品工業股份有限公司,台北市中山區松江路125號,饒河街觀光夜市,730
沙拉油,饒河街109號,口?品臭豆腐,大統益股份有限公司,台南市官田區二鎮里工業西路32號,饒河街觀光夜市,731
味精,饒河街109號,口?品臭豆腐,味全食品工業股份有限公司,台北市中山區松江路125號,饒河街觀光夜市,732
醬油,饒河街109號,口?品臭豆腐,金蘭食品股份有限公司,桃園市大溪區介壽路236號,饒河街觀光夜市,733
鹽,饒河街109號,口?品臭豆腐,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,饒河街觀光夜市,734
玫瑰鹽,饒河街夜市路中334號,澳洲岩烤和牛,飛馬,臺灣,饒河街觀光夜市,735
玫瑰鹽,饒河街夜市路中334號,澳洲岩烤和牛,濟生股份有限公司,台北市大同區安西街116號,饒河街觀光夜市,736
胡椒粉,饒河街夜市路中334號,澳洲岩烤和牛,飛馬,臺灣,饒河街觀光夜市,737
胡椒粉,饒河街夜市路中334號,澳洲岩烤和牛,濟生股份有限公司,台北市大同區安西街116號,饒河街觀光夜市,738
麻辣粉,饒河街夜市路中334號,澳洲岩烤和牛,飛馬,臺灣,饒河街觀光夜市,739
麻辣粉,饒河街夜市路中334號,澳洲岩烤和牛,濟生股份有限公司,台北市大同區安西街116號,饒河街觀光夜市,740
芝麻,饒河街214號攤位,顏家寧夏手撕雞,家見企業有限公司,台北市大同區歸綏街234號1樓,饒河街觀光夜市,741
花生粉,饒河街214號攤位,顏家寧夏手撕雞,家見企業有限公司,台北市大同區歸綏街234號1樓,饒河街觀光夜市,742
香油,饒河街214號攤位,顏家寧夏手撕雞,信成油廠股份有限公司,台北市大同區民生西路96號,饒河街觀光夜市,743
蒜泥,饒河街214號攤位,顏家寧夏手撕雞,家見企業有限公司,台北市大同區歸綏街234號1樓,饒河街觀光夜市,744
糖,饒河街214號攤位,顏家寧夏手撕雞,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,饒河街觀光夜市,745
醬油,饒河街214號攤位,顏家寧夏手撕雞,萬家香醬園股份有限公司,台北市中山區德惠街9號5樓之6,饒河街觀光夜市,746
沙拉油,雙城街攤販臨時集中場(夜40),蔥抓餅,美食家食材通路股份有限公司,台南市安平區永華路二段373號,雙城街夜市,747
棕櫚油,雙城街攤販臨時集中場(夜40),蔥抓餅,幸福兄弟企業股份有限公司,新北市樹林區太順街116號,雙城街夜市,748
醬油膏,雙城街攤販臨時集中場(夜40),蔥抓餅,新亞醬園,新北市蘆洲區長安街285巷18號1樓,雙城街夜市,749
鹽,雙城街攤販臨時集中場(夜40),蔥抓餅,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,雙城街夜市,750
沙茶醬,中華路二段307巷-309巷間,台灣第一家碳烤鹽酥雞,好帝一食品有限公司,台南市新市區大營里豐榮160號,南機場夜市,751
香油,中華路二段307巷-309巷間,台灣第一家碳烤鹽酥雞,富味鄉食品股份有限公司,新北市五股區五權路53號,南機場夜市,752
料理米酒,中華路二段307巷-309巷間,台灣第一家碳烤鹽酥雞,大富酒業股份有限公司,新竹縣新豐鄉埔和村埔頂156號,南機場夜市,753
椒鹽粉,中華路二段307巷-309巷間,台灣第一家碳烤鹽酥雞,台灣第一家有限公司,新北市土城區成功街2之1號,南機場夜市,754
辣椒粉,中華路二段307巷-309巷間,台灣第一家碳烤鹽酥雞,台灣第一家有限公司,新北市土城區成功街2之1號,南機場夜市,755
糖,中華路二段307巷-309巷間,台灣第一家碳烤鹽酥雞,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,南機場夜市,756
醬油,中華路二段307巷-309巷間,台灣第一家碳烤鹽酥雞,萬家香醬園股份有限公司,台北市中山區德惠街9號5樓之6,南機場夜市,757
雞油,中華路二段307巷-309巷間,台灣第一家碳烤鹽酥雞,自製,台灣,南機場夜市,758
鹽,中華路二段307巷-309巷間,台灣第一家碳烤鹽酥雞,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,南機場夜市,759
冰糖,雙城街攤販臨時集中場(夜28),阿聖紅麵線,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,雙城街夜市,760
米酒,雙城街攤販臨時集中場(夜28),阿聖紅麵線,臺灣菸酒股份有限公司,台北市中正區南昌路一段4號,雙城街夜市,761
辣椒脯,雙城街攤販臨時集中場(夜28),阿聖紅麵線,自製,臺灣,雙城街夜市,762
醬油,雙城街攤販臨時集中場(夜28),阿聖紅麵線,萬家香醬園股份有限公司,台北市中山區德惠街9號5樓之6,雙城街夜市,763
鹽,雙城街攤販臨時集中場(夜28),阿聖紅麵線,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,雙城街夜市,764
工研海山醬,士林市場地下1樓 29~35,忠誠號蚵仔煎,大安工研食品工廠股份有限公司,台北市大安區忠孝東路3段10巷1號,士林觀光夜市,765
工研烏醋,士林市場地下1樓 29~35,忠誠號蚵仔煎,大安工研食品工廠股份有限公司,台北市大安區忠孝東路3段10巷1號,士林觀光夜市,766
米酒,廣州街龍山國小側門前,深海郭魚湯,臺灣菸酒股份有限公司,台北市中正區南昌路一段4號,廣州街觀光夜市,811
牛頭牌沙茶醬,士林市場地下1樓 29~35,忠誠號蚵仔煎,好帝一食品有限公司,台南市新市區大營里豐榮160號,士林觀光夜市,767
可果美番茄醬,士林市場地下1樓 29~35,忠誠號蚵仔煎,臺灣可果美股份有限公司,台南市善化區小新營394號,士林觀光夜市,768
沙拉油,士林市場地下1樓 29~35,忠誠號蚵仔煎,大成長城企業股份有限公司,台北市內湖區文湖街20號8樓,士林觀光夜市,769
金蘭甲等,士林市場地下1樓 29~35,忠誠號蚵仔煎,金蘭食品股份有限公司,桃園市大溪區介壽路236號,士林觀光夜市,770
香油,士林市場地下1樓 29~35,忠誠號蚵仔煎,龍昇食品行,台北市士林區社中街6號1樓,士林觀光夜市,771
家見麻油四川醬,士林市場地下1樓 29~35,忠誠號蚵仔煎,家見企業有限公司,台北市大同區歸綏街234號1樓,士林觀光夜市,772
海味味精,士林市場地下1樓 29~35,忠誠號蚵仔煎,味丹企業股份有限公司,台中市沙鹿區興安路65號,士林觀光夜市,773
高級精鹽,士林市場地下1樓 29~35,忠誠號蚵仔煎,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,士林觀光夜市,774
五香粉,中華路二段309巷-311巷間,汕頭麵,統隆企業有限公司,台北市北投區立德路121巷18號,南機場夜市,775
沙拉油,中華路二段309巷-311巷間,汕頭麵,大成長城企業股份有限公司,台北市內湖區文湖街20號8樓,南機場夜市,776
沙茶醬,中華路二段309巷-311巷間,汕頭麵,好帝一食品有限公司,台南市新市區大營里豐榮160號,南機場夜市,777
味精,中華路二段309巷-311巷間,汕頭麵,味丹企業股份有限公司,台中市沙鹿區興安路65號,南機場夜市,778
胡椒粉,中華路二段309巷-311巷間,汕頭麵,濟生股份有限公司,台北市大同區安西街116號,南機場夜市,779
醋,中華路二段309巷-311巷間,汕頭麵,大安工研食品工廠股份有限公司,台北市大安區忠孝東路3段10巷1號,南機場夜市,780
醬油,中華路二段309巷-311巷間,汕頭麵,萬家香醬園股份有限公司,台北市中山區德惠街9號5樓之6,南機場夜市,781
糖,中華路二段311巷-313巷間,玉米家,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,南機場夜市,782
醬油,中華路二段311巷-313巷間,玉米家,裕泉醬油工廠,彰化縣花壇鄉中山路二段509號,南機場夜市,783
鹽,中華路二段311巷-313巷間,玉米家,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號,南機場夜市,784
沙拉油,長安東路2段171-9號前,雞站鹽酥雞,美食家食材通路股份有限公司,台南市安平區永華路二段373號,遼寧街夜市,785
香油,長安東路2段171-9號前,雞站鹽酥雞,辰邦股份有限公司,新北市新莊區化成路403巷47號,遼寧街夜市,786
糖,長安東路2段171-9號前,雞站鹽酥雞,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號,遼寧街夜市,787
